Steps,p_-8,p_-7,p_-6,p_-5,p_-4,p_-3,p_-2,p_-1,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,29568,29248,29120,29376,34880,35264,34816,34688,64960,65344,65472,65472,65472,65472,65472,65472
0,29120,29312,29440,29056,34944,35200,34880,34944,65088,65216,65472,65472,65472,65472,65408,65408
0,29312,29824,28992,28864,35072,34944,34880,34816,65024,65344,65472,65472,65472,65472,65472,65472
0,28928,29056,29312,29440,35264,35328,35008,35392,65088,65216,65472,65408,65408,65408,65408,65472
0,29184,29312,29184,29312,34816,35008,35072,34816,65024,65088,65408,65472,65408,65408,65408,65408
0,29504,29312,29248,29824,35008,34880,35328,34752,65088,65408,65472,65472,65472,65408,65408,65408
0,29824,29248,29440,28992,34880,35200,34816,34816,65024,65280,65472,65472,65408,65472,65472,65472
0,29184,29184,29056,29120,35008,34880,35008,35008,65024,65216,65472,65408,65472,65472,65472,65472
0,29312,29504,28928,29248,35392,35072,34880,35200,65024,65280,65472,65472,65472,65408,65408,65472
0,29184,29632,29184,29120,34944,34944,35008,34944,65024,65472,65472,65472,65408,65408,65472,65472
1,43392,43520,43456,43584,30144,30208,30464,30784,29952,32256,35136,40640,46528,57792,65408,65344
1,44032,43584,43520,43648,30272,30144,30208,30336,30080,32064,34560,40064,46336,57664,65344,65152
1,43456,43840,43456,44160,30336,30400,30464,30336,30016,32320,34880,40064,46784,57792,65344,65408
1,43840,44160,43520,43648,30272,30464,30272,30592,29888,32128,35200,40000,46272,57728,65472,65344
1,43456,43584,43456,44096,30464,30080,30784,30848,30144,32704,34688,40064,46336,57664,65344,65152
1,43456,43712,43648,43520,30400,30528,30592,30464,30528,32064,34688,40256,46400,57664,65408,65344
1,43520,43520,43776,43648,30720,30272,30720,30272,29824,32128,34688,39936,46912,57792,65408,65280
1,43648,43712,43264,43968,30272,30784,30784,30464,30336,32128,34624,40128,46656,57984,65408,65280
1,43712,43520,43520,43392,30400,30912,30464,30208,30208,32640,35392,39936,46400,58048,65472,65472
1,43328,43648,43456,43712,30336,30272,30336,30400,30208,32512,35008,40128,46784,57792,65472,65280
2,65152,65408,65472,65408,54336,54720,54400,54656,32256,30528,28864,29376,29120,30080,32896,36352
2,65280,65344,65344,65408,54784,54784,54336,54784,32192,29824,29184,29632,28928,30208,33280,36160
2,65280,65408,65472,65408,54208,54336,54208,54272,32192,29888,29376,29248,28928,30144,32896,35776
2,65472,65472,65408,65472,54144,54400,54400,54848,32128,30144,29184,29696,28864,29888,32960,35648
2,65472,65472,65344,65472,54272,54400,54272,54208,31936,29696,29184,29632,28800,29696,33344,35712
2,65472,65408,65408,65472,54336,54208,54272,54848,32256,29952,29504,30208,28928,29568,33088,35712
2,65344,65344,65280,65344,54272,54784,54400,54592,32320,29824,29568,29632,28800,30016,32960,35520
2,65408,65280,65408,65408,54272,54784,54336,54400,32128,29888,29440,29888,28928,29568,32768,35712
2,65408,65344,65280,65472,54784,54208,54272,54336,32256,30272,29440,29568,28800,29824,32704,35840
2,65408,65472,65472,65472,54208,54272,54336,54336,32384,29824,29312,29632,28736,30272,33344,35712
3,65344,65472,65472,65472,65472,65472,65408,65472,60416,55744,51904,45952,39552,32896,30976,30400
3,65408,65344,65408,65344,65472,65472,65408,65472,60352,55680,51840,45760,39552,33088,30784,29952
3,65408,65472,65472,65472,65472,65472,65408,65344,60544,55744,51712,45952,39488,33600,31104,30144
3,65472,65408,65408,65472,65472,65408,65472,65472,60672,55360,51904,46016,39552,33216,31040,29952
3,65472,65472,65472,65472,65408,65344,65344,65472,60480,55680,51776,45952,40000,33152,31040,29888
3,65472,65472,65472,65472,65408,65472,65344,65408,60544,55680,52224,45888,39808,33024,30912,30080
3,65472,65472,65408,65472,65472,65472,65472,65472,60928,56064,51968,45952,39808,33344,30976,29888
3,65472,65472,65344,65472,65408,65408,65472,65472,60480,55744,51776,45888,39680,33152,31040,29888
3,65472,65472,65344,65344,65408,65408,65472,65472,60544,55744,51904,46272,40128,32832,31040,29824
3,65472,65344,65408,65472,65472,65472,65472,65472,60416,55872,51712,45952,40128,33280,30848,29824
